id,brand,primaryCategories,colors,ean / upc,manufacturer,name,prices.amountMax,prices.amountMin,prices.availability,prices.currency,prices.size,color 1,color 2,color 3,color 4,color 5,color 6,category 1,category 2,category 3,category 4,category 5,category 6,category 7
AWo-BpVRAGTnQPR7sPhg,Unique Bargains,Shoes,Black,703000000000,,Women's Block Heels Lace Up Sandals Glitter Pumps Silver (Size 9),31.99,31.99,TRUE,USD,10,Black,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-Bq07M263mwCq7DFJ,Qupid,Shoes,Blood Orangeandnbsp,656144000000,,Qupid Katz 43X Women's Open Toe Block Heel Sandal,19.95,19.95,FALSE,USD,8.5,Blood,Orangeandnbsp,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-Brdw0U_gzG0hgB_m,Baretraps,Shoes,Bronze,825443000000,,Baretraps Womens Jeaney Faux Leather Slip On Wedge Sandals,38.35,38.35,TRUE,USD,7.5 Medium BM,Bronze,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-Bs_aJbEilcB6NidR,Ellie Shoes,Shoes,Fuchsia Velvet,843000000000,,609-APONI 6'' Heel Velvet Fringe Ankle Cuff Platform Shoes,57.98,57.98,TRUE,USD,Size 8,Fuchsia,Velvet,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-BtFFAGTnQPR7sPjj,Pleaser,Shoes,Black Patent/Rose Gold Chrome,885488000000,,Women's Pleaser Kiss 209,53.95,53.95,TRUE,USD,11,Black,Patent,Rose,Gold,Chrome,,Womens Shoes,Clothing,All Womens Shoes,Shoes,,,
AWo-Bu4tAGTnQPR7sPkp,MICHAEL Michael Kors,Shoes,Pale Gold,190000000000,,MICHAEL Michael Kors Women's Millie Slide,84.99,84.99,FALSE,USD,10 Standard,Pale,Gold,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-BuwJAGTnQPR7sPkg,Rialto,Shoes,Dark Blue Denim Fabric,191000000000,,Women's Rialto Alix Slide,30.5,30.5,FALSE,USD,6,Dark,Blue,Denim,Fabric,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-bVh-AGTnQPR7sWSp,Propet,Shoes,Sport White,756111000000,,Propet Stability Walker - womens - Sport White,43,43,FALSE,USD,5,Sport,White,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-BvTbJbEilcB6Nien,De Blossom,Shoes,Silver,633556000000,,De Blossom Womens Yael-71 Stunning Glitzy Evening Party Heels Sandals Shoes,44.95,44.95,TRUE,USD,6 BM US,Silver,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
AWo-Bw5MAGTnQPR7sPln,Easy Street,Shoes,White,885660000000,,Easy Street Glitz W Open-Toe Synthetic Heels,39.25,39.25,TRUE,USD,7.5,White,,,,,,Clothing,Shoes,Womens Shoes,All Womens Shoes,,,
